Rank,Name,Team,Position,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+
134,문현빈,/data/team/ci/2025/7002.svg,DH,-0.05,20,0.24,-0.29,67,67,64,9,18,5,0,3,32,12,2,0,3,0,0,12,0,0,0,0.281,0.313,0.500,0.813,0.140,119.1
135,이창용,/data/team/ci/2025/1001.svg,1B,-0.05,2,-0.05,0.00,5,5,5,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0.200,0.200,0.200,0.400,-0.016,-14.7
136,황재균,/data/team/ci/2025/12001.svg,1B,-0.06,17,-0.25,0.20,50,50,48,6,10,1,0,1,14,6,1,0,2,0,0,14,0,0,0,0.208,0.240,0.292,0.532,0.038,31.4
137,양현종,/data/team/ci/2025/10001.svg,3B,-0.06,3,-0.08,0.03,5,5,4,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.200,0.000,0.200,-0.037,-35.9
138,조대현,/data/team/ci/2025/12001.svg,C,-0.06,5,-0.02,-0.04,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-0.178,-145.0
139,장승현,/data/team/ci/2025/6002.svg,C,-0.08,3,-0.07,-0.01,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,-0.178,-148.7
140,권광민,/data/team/ci/2025/7002.svg,1B,-0.08,3,-0.08,0.00,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.178,-154.7
141,임종찬,/data/team/ci/2025/7002.svg,RF,-0.08,11,-0.17,0.09,25,25,22,2,3,1,0,1,7,1,0,0,3,0,0,9,0,0,0,0.136,0.240,0.318,0.558,0.056,46.6
142,조수행,/data/team/ci/2025/6002.svg,RF,-0.08,8,-0.03,-0.06,20,18,16,3,4,0,0,0,4,1,2,0,2,0,0,4,0,2,0,0.250,0.333,0.250,0.583,0.080,73.6
143,이원석,/data/team/ci/2025/7002.svg,RF,-0.08,19,-0.27,0.19,24,24,22,7,2,0,0,0,2,2,4,0,1,1,0,9,2,0,0,0.091,0.167,0.091,0.258,-0.049,-39.1
144,조세진,/data/team/ci/2025/3001.svg,RF,-0.09,3,-0.05,-0.04,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,-0.178,-135.4
145,구자욱,/data/team/ci/2025/1001.svg,LF,-0.09,21,0.04,-0.13,92,89,81,17,17,5,0,4,34,14,0,0,9,0,3,16,0,1,1,0.210,0.286,0.420,0.706,0.096,80.4
146,정보근,/data/team/ci/2025/3001.svg,C,-0.09,19,-0.02,-0.07,37,35,33,0,8,1,0,0,9,6,0,0,3,0,1,7,3,1,0,0.242,0.306,0.273,0.579,0.064,50.4
147,이재상,/data/team/ci/2025/10001.svg,SS,-0.09,2,0.03,-0.13,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,0.226,178.2
148,조형우,/data/team/ci/2025/9002.svg,C,-0.09,5,-0.10,0.01,8,8,8,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.125,0.125,0.125,0.250,-0.077,-65.3
149,최준우,/data/team/ci/2025/9002.svg,DH,-0.09,8,-0.09,0.00,14,14,10,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0.000,0.286,0.000,0.286,0.023,18.8
150,김웅빈,/data/team/ci/2025/10001.svg,1B,-0.09,5,0.00,-0.09,19,19,14,1,2,0,0,0,2,0,0,0,5,0,0,1,1,0,0,0.143,0.368,0.143,0.511,0.093,79.0
151,이형종,/data/team/ci/2025/10001.svg,RF,-0.10,7,-0.14,0.05,11,11,11,0,2,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0.182,0.182,0.182,0.364,-0.031,-28.4
152,안치영,/data/team/ci/2025/12001.svg,LF,-0.10,5,-0.09,0.00,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0.000,0.000,0.000,0.000,-0.178,-135.4
153,박지훈,/data/team/ci/2025/6002.svg,3B,-0.10,6,-0.11,0.01,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,-0.178,-166.8
154,안상현,/data/team/ci/2025/9002.svg,2B,-0.11,12,-0.01,-0.10,18,18,17,4,5,2,0,0,7,3,2,1,1,0,0,9,1,0,0,0.294,0.333,0.412,0.745,0.126,109.3
155,현원회,/data/team/ci/2025/9002.svg,DH,-0.12,5,-0.12,0.00,19,19,17,1,3,1,0,0,4,3,0,0,2,0,0,6,0,0,0,0.176,0.263,0.235,0.498,0.043,35.9
156,전다민,/data/team/ci/2025/6002.svg,LF,-0.12,5,-0.08,-0.05,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-0.178,-160.7
157,홍종표,/data/team/ci/2025/2002.svg,3B,-0.13,9,-0.21,0.08,21,20,18,2,2,0,0,0,2,0,0,0,2,0,0,4,0,1,0,0.111,0.200,0.111,0.311,-0.027,-22.0
158,이승원,/data/team/ci/2025/10001.svg,3B,-0.13,1,-0.05,-0.08,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-0.178,-166.8
159,함창건,/data/team/ci/2025/5002.svg,LF,-0.15,2,-0.15,0.00,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,-0.178,-174.7
160,고승민,/data/team/ci/2025/3001.svg,2B,-0.16,12,0.19,-0.35,52,52,44,5,12,2,0,0,14,3,0,1,8,0,0,8,2,0,0,0.273,0.385,0.318,0.703,0.131,103.6
161,이상혁,/data/team/ci/2025/7002.svg,CF,-0.16,10,-0.08,-0.08,2,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,-0.178,-166.8
162,김태연,/data/team/ci/2025/7002.svg,LF,-0.16,22,0.05,-0.21,87,86,79,11,21,1,0,1,25,7,2,0,5,2,0,16,2,1,0,0.266,0.326,0.316,0.642,0.094,77.5
163,로하스,/data/team/ci/2025/12001.svg,RF,-0.17,20,-0.06,-0.11,90,90,75,10,15,3,0,1,21,4,0,1,14,0,0,20,2,0,1,0.200,0.322,0.280,0.602,0.089,73.4
164,서호철,/data/team/ci/2025/11001.svg,3B,-0.17,14,-0.08,-0.09,32,29,28,2,8,0,0,0,8,0,2,1,1,0,0,7,1,3,0,0.286,0.310,0.286,0.596,0.069,59.3
165,박재현,/data/team/ci/2025/2002.svg,CF,-0.18,17,-0.09,-0.09,21,21,20,4,3,1,0,0,4,0,3,0,1,0,0,5,0,0,0,0.150,0.190,0.200,0.390,-0.012,-9.6
166,여동욱,/data/team/ci/2025/10001.svg,3B,-0.18,11,-0.06,-0.12,24,24,21,2,4,0,0,1,7,1,0,0,3,0,0,9,2,0,0,0.190,0.292,0.333,0.625,0.084,70.6
167,최원준,/data/team/ci/2025/2002.svg,CF,-0.19,20,-0.03,-0.15,74,74,68,9,14,1,0,2,21,3,2,0,6,0,0,13,0,0,0,0.206,0.270,0.309,0.579,0.062,52.7
168,손호영,/data/team/ci/2025/3001.svg,3B,-0.19,9,-0.10,-0.08,39,39,35,2,8,0,0,0,8,4,0,0,3,1,0,6,2,0,0,0.229,0.308,0.229,0.537,0.062,50.5
169,강진성,/data/team/ci/2025/10001.svg,1B,-0.19,6,-0.12,-0.07,13,13,11,1,2,0,0,0,2,1,0,0,2,0,0,1,2,0,0,0.182,0.308,0.182,0.490,0.055,54.1
170,황영묵,/data/team/ci/2025/7002.svg,2B,-0.19,19,0.07,-0.26,78,77,66,12,13,5,0,0,18,3,0,0,11,0,0,8,1,1,0,0.197,0.312,0.273,0.585,0.082,66.8
171,김재환,/data/team/ci/2025/6002.svg,DH,-0.20,15,-0.25,0.05,61,61,55,7,11,2,0,1,16,6,0,0,5,1,0,16,0,0,0,0.200,0.279,0.291,0.570,0.066,57.4
172,김기연,/data/team/ci/2025/6002.svg,C,-0.21,12,-0.06,-0.15,26,26,24,1,6,0,0,0,6,5,0,0,2,0,0,7,0,0,0,0.250,0.308,0.250,0.558,0.063,54.7
173,김재현,/data/team/ci/2025/10001.svg,C,-0.22,11,-0.11,-0.11,25,25,24,4,4,2,0,0,6,2,0,0,0,1,0,5,1,0,0,0.167,0.200,0.250,0.450,0.011,9.9
174,푸이그,/data/team/ci/2025/10001.svg,LF,-0.22,22,-0.04,-0.19,97,97,87,12,19,2,0,3,30,11,0,0,7,3,0,20,1,0,0,0.218,0.299,0.345,0.644,0.092,81.4
175,장재영,/data/team/ci/2025/10001.svg,CF,-0.23,9,-0.14,-0.09,14,14,12,1,1,0,0,0,1,1,0,0,2,0,0,6,0,0,0,0.083,0.214,0.083,0.297,-0.020,-16.1
176,박병호,/data/team/ci/2025/1001.svg,DH,-0.23,21,-0.18,-0.05,79,79,68,10,12,2,0,5,29,12,0,0,8,3,0,25,1,0,0,0.176,0.291,0.426,0.717,0.114,94.9
177,천재환,/data/team/ci/2025/11001.svg,CF,-0.24,16,-0.22,-0.02,25,25,24,1,4,0,0,0,4,0,2,0,1,0,0,8,0,0,0,0.167,0.200,0.167,0.367,-0.020,-17.3
178,임병욱,/data/team/ci/2025/10001.svg,CF,-0.25,9,-0.05,-0.19,17,17,15,3,3,0,0,0,3,1,0,0,2,0,0,4,0,0,0,0.200,0.294,0.200,0.494,0.048,40.3
179,박세혁,/data/team/ci/2025/11001.svg,C,-0.25,8,-0.19,-0.06,15,15,14,1,1,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0.071,0.133,0.071,0.204,-0.077,-66.9
180,오명진,/data/team/ci/2025/6002.svg,2B,-0.26,12,-0.32,0.06,29,29,27,3,3,0,0,0,3,0,0,0,1,1,0,10,0,0,0,0.111,0.172,0.111,0.283,-0.043,-38.2
181,한유섬,/data/team/ci/2025/9002.svg,DH,-0.26,18,-0.11,-0.15,67,65,60,5,14,0,0,1,17,7,0,0,6,0,1,19,0,1,0,0.233,0.303,0.283,0.586,0.068,57.8
182,박승욱,/data/team/ci/2025/3001.svg,SS,-0.28,5,-0.15,-0.13,10,10,9,1,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,0.000,0.100,0.000,0.100,-0.100,-84.3
183,오윤석,/data/team/ci/2025/12001.svg,2B,-0.29,16,-0.07,-0.22,27,25,22,4,3,2,0,0,5,3,0,0,3,0,0,7,0,2,0,0.136,0.240,0.227,0.467,0.032,26.4
184,문상철,/data/team/ci/2025/12001.svg,1B,-0.30,9,-0.30,0.00,31,31,27,2,4,1,0,0,5,1,0,0,3,0,0,8,1,0,1,0.148,0.226,0.185,0.411,0.006,4.9
185,하재훈,/data/team/ci/2025/9002.svg,RF,-0.32,8,-0.19,-0.13,25,25,24,2,4,0,0,1,7,3,0,0,1,0,0,12,0,0,0,0.167,0.200,0.292,0.492,0.017,14.7
186,김성욱,/data/team/ci/2025/11001.svg,CF,-0.32,5,-0.19,-0.13,9,9,9,0,1,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0.111,0.111,0.111,0.222,-0.088,-72.0
187,정준재,/data/team/ci/2025/9002.svg,2B,-0.34,17,-0.05,-0.29,68,66,56,9,9,1,1,0,12,3,3,0,10,0,0,16,1,2,0,0.161,0.288,0.214,0.502,0.055,46.4
188,김민석,/data/team/ci/2025/6002.svg,LF,-0.34,9,-0.26,-0.08,31,31,30,2,5,0,1,0,7,2,0,0,1,0,0,11,1,0,0,0.167,0.194,0.233,0.427,-0.002,-1.4
189,윤정빈,/data/team/ci/2025/1001.svg,RF,-0.34,14,-0.17,-0.17,22,22,19,2,2,1,0,0,3,0,0,0,3,0,0,10,0,0,0,0.105,0.227,0.158,0.385,0.008,6.5
190,어준서,/data/team/ci/2025/10001.svg,3B,-0.38,7,0.06,-0.44,21,21,20,4,6,0,0,1,9,3,0,0,0,0,0,7,0,0,1,0.300,0.286,0.450,0.736,0.098,84.6
191,김태진,/data/team/ci/2025/10001.svg,SS,-0.39,20,0.01,-0.40,64,63,59,4,16,3,0,0,19,1,0,0,4,0,0,11,3,1,0,0.271,0.317,0.322,0.639,0.089,79.8
192,안치홍,/data/team/ci/2025/7002.svg,DH,-0.57,10,-0.45,-0.11,35,35,30,0,2,0,0,0,2,2,0,0,5,0,1,6,1,0,0,0.067,0.200,0.067,0.267,-0.038,-30.6
